名詞,,サ変名詞,,形容動詞,,地名,,ナイ形容,,副詞可能,,未知語,,感動詞,,動詞,,形容詞,,副詞,,名詞B,,動詞B,,副詞B,,名詞C,,否定助動詞,,形容詞（非自立）,
社長,6,電話,2,親不孝,1,金沢,1,申し訳,2,ことし,1,ぁせやけども,1,うん,9,来る,3,悪い,2,一応,1,ほんま,2,ある,3,これから,1,駅,1,ない,2,欲しい,2
サラ金,3,心配,1,,,新横浜,1,,,前,1,ぇへんかったから,1,あのー,7,借りる,2,難しい,1,,,たんか,1,する,1,ちゃんと,1,金,1,,,,
会社,3,,,,,,,,,,,思,1,あの,3,乗る,2,,,,,やけど,1,たつ,1,なんで,1,腰,1,,,,
向こう,2,,,,,,,,,,,,,まぁ,3,分かる,2,,,,,,,つける,1,もう,1,,,,,,
電車,2,,,,,,,,,,,,,いや,2,返す,2,,,,,,,なる,1,,,,,,,,
都合,2,,,,,,,,,,,,,もしもし,2,引っかかる,1,,,,,,,もらえる,1,,,,,,,,
お金,1,,,,,,,,,,,,,あぁ,1,掛け合う,1,,,,,,,,,,,,,,,,
お母さん,1,,,,,,,,,,,,,なんか,1,言う,1,,,,,,,,,,,,,,,,
手口,1,,,,,,,,,,,,,ま,1,向かえる,1,,,,,,,,,,,,,,,,
弁護士,1,,,,,,,,,,,,,,,済む,1,,,,,,,,,,,,,,,,
儲け,1,,,,,,,,,,,,,,,思う,1,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,出かける,1,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,来れる,1,,,,,,,,,,,,,,,,